City,State,Latitude,Longitude,TenYrSalesDiff
Whitewater,WI,42.835,-88.7381,5300
Racine,WI,42.7252,-87.7904,34400
Milwaukee,WI,43.042,-87.9069,44000
Madison,WI,43.073,-89.3867,58100
Green Bay,WI,44.513,-88.01,48400
Yakima,WA,46.6041,-120.5071,84800
Wenatchee,WA,47.4147,-120.3051,57000
Walla Walla,WA,46.0704,-118.3424,37600
Spokane,WA,47.6573,-117.4123,57600
Shelton,WA,47.2125,-123.1057,96000
Seattle,WA,47.6036,-122.3295,130500
Port Angeles,WA,48.1187,-123.4313,30000
Olympia,WA,47.0392,-122.8914,48200
Oak Harbor,WA,48.2906,-122.6472,86000
Mount Vernon,WA,48.4162,-122.3389,97000
Moses Lake,WA,47.1319,-119.2772,32300
Longview,WA,46.1468,-122.9505,93300
Kennewick,WA,46.208,-119.117,126400
Ellensburg,WA,46.997,-120.5487,83800
Centralia,WA,46.7289,-122.953,64300
Bremerton,WA,47.565,-122.6275,76800
Bellingham,WA,48.7524,-122.4712,85900
Winchester,VA,39.184,-78.1641,70300
Virginia Beach,VA,36.7553,-76.0596,5300
Roanoke,VA,37.2715,-79.9405,12600
Richmond,VA,37.5407,-77.4336,41800
Lynchburg,VA,37.414,-79.1428,10900
Tullahoma,TN,35.3624,-86.212,53200
Shelbyville,TN,35.483,-86.46,71000
Sevierville,TN,35.8693,-83.5677,58300
Nashville,TN,36.1678,-86.7782,113800
Morristown,TN,36.215,-83.293,34600
Memphis,TN,35.1498,-90.0493,55000
McMinnville,TN,35.6809,-85.7745,45300
Lewisburg,TN,35.4491,-86.7885,73000
Lawrenceburg,TN,35.241,-87.3315,53400
Knoxville,TN,35.9607,-83.921,53300
Kingsport,TN,36.5478,-82.5604,26100
Johnson City,TN,36.3201,-82.3452,26300
Jackson,TN,35.6139,-88.8194,41400
Greeneville,TN,36.1627,-82.8312,45200
Crossville,TN,35.9484,-85.0265,36200
Cookeville,TN,36.1619,-85.4998,43100
Cleveland,TN,35.1602,-84.8753,64000
