City,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chicago,-18900,-22200,-2000,31300,5300,-15200,14500,6900,19300
Philadelphia,-3400,-12300,11000,1300,-2500,-2200,8600,800,4400
Washington,23600,-21500,33800,22500,10400,-4600,11200,9500,11000
Miami-Fort Lauderdale,-28700,-2300,25300,24400,18500,10000,23400,17400,17800
Boston,28800,-17300,21100,8500,27800,12400,15400,27000,17700
San Francisco,104700,-36000,115300,84200,4600,53100,24200,82600,34200
Riverside,2900,-4700,35600,45100,19100,16900,14100,30600,17100
Phoenix,-10000,5400,18200,16600,7100,21500,20200,24500,7900
Seattle,-20700,-45000,47000,17000,11000,25300,30800,46100,19000
San Diego,51400,-18800,51300,50100,18900,31600,28600,43600,12600
St. Louis,-12800,-3400,2000,10200,6600,4800,-900,7400,300
Tampa,-18500,-8800,17200,14100,7200,15300,19500,20100,7900
Baltimore,-30200,17200,20700,-5600,11000,-4200,11200,5200,-1100
Denver,39000,-6100,29300,16700,18600,35100,34200,35300,20500
Pittsburgh,17800,2300,8800,600,8600,2000,3500,6400,3300
Portland,-23400,-15200,22800,22700,13200,22100,34700,28200,24600
Charlotte,3500,-5600,7100,14700,2200,11600,4900,8300,18900
Sacramento,11100,-19000,38700,53300,22600,20000,30000,31100,24800
Orlando,-50700,15200,11000,25100,7100,30900,20700,18500,11900
Cincinnati,8500,-2400,4600,7800,5400,9000,8000,5700,9300
Cleveland,39600,-19900,12500,2700,9200,-5300,10200,8500,2900
Las Vegas,-29200,-8900,26700,31800,15800,10800,15000,31300,45700
Columbus,9500,-5100,6800,25400,-1600,-6900,17800,12500,7400
San Jose,98600,-32800,111400,67200,74100,80700,25700,161300,59000
Virginia Beach,-12800,-20600,14800,300,200,5500,12600,6700,-1400
Nashville,0,-3200,9200,11300,16000,12900,27000,21200,19400
Milwaukee,7500,-11900,-5300,11700,14800,-2700,6100,15700,8100
Jacksonville,-56800,3400,-14600,10200,-700,600,20200,15300,25000
Memphis,3000,-8200,13500,7600,16500,-7500,16500,13500,100
Oklahoma City,2800,2800,12800,-400,10100,8400,-2900,2100,9100
Hartford,8100,-22600,5500,-3300,-1800,-5100,6700,4600,4500
Richmond,-19200,-5700,4900,1700,15800,1900,11600,9900,20900
New Orleans,8500,-15900,6500,9100,6400,7200,5800,16200,-900
Raleigh,300,-2900,1200,13800,2800,23400,6300,16300,13800
Grand Rapids,5900,6500,13200,8000,11500,13200,13100,10500,15100
Tucson,-30300,-13000,26700,9200,-6800,11300,8700,21900,7900
Urban Honolulu,31200,20200,-900,16700,24200,17900,40500,26000,9900
Tulsa,800,6800,2600,-1300,9000,4600,4800,5000,1100
